longitude,latitude,M13_log
-117.67358,34.6014,0.7999163
-117.17314,34.67047,0.796275
-117.36829,34.646587,0.7926205
-117.37801,34.64539,0.796275
-117.3877,34.644196,0.7926205
-117.40703,34.64181,0.8035443
-117.4167,34.640617,0.796275
-117.46493,34.63464,0.8071592
-117.47458,34.633446,0.8107611
-117.48424,34.63224,0.8107611
-117.4939,34.63104,0.7926205
-116.435616,34.765175,0.796275
-116.446175,34.763954,0.8071592
-117.164665,34.678795,0.8035443
-117.174446,34.67761,0.7999163
-117.37927,34.652477,0.8071592
-117.38896,34.651276,0.796275
-117.45662,34.642895,0.8179261
-117.46626,34.64169,0.8107611
-117.48562,34.639282,0.7999163
-117.49524,34.63809,0.7999163
-117.54313,34.63211,0.7926205
-117.55258,34.630924,0.796275
-117.60975,34.623753,0.796275
-117.638275,34.620163,0.7926205
-117.64771,34.61898,0.7926205
-117.553925,34.637943,0.8179261
-117.57294,34.635567,0.8035443
-117.55526,34.64497,0.83210397
-117.56474,34.64378,0.8179261
-117.66928,34.63058,0.8071592
-117.678734,34.62939,0.796275
-117.30557,34.68335,0.796275
-117.54716,34.65319,0.7999163
-117.55661,34.651993,0.82504016
-117.56608,34.650806,0.85644174
-117.57555,34.649612,0.8035443
-117.65165,34.64,0.796275
-117.30679,34.690456,0.7926205
-117.31639,34.68926,0.7999163
-117.5391,34.6614,0.82857835
-117.54854,34.66021,0.82504016
-117.557976,34.65901,0.8356173
-117.56742,34.65783,0.842607
-117.5769,34.65663,0.8214895
-117.58638,34.655434,0.7999163
-117.643425,34.648205,0.7926205
-117.30802,34.69757,0.8179261
-117.50204,34.673275,0.7999163
-117.53103,34.669624,0.8179261
-117.540504,34.66842,0.8214895
-117.549934,34.667233,0.83210397
-117.55937,34.66604,0.8356173
-117.56879,34.66485,0.82857835
-117.57825,34.663643,0.7999163
-117.587715,34.66245,0.7999163
-117.635216,34.65642,0.7926205
-117.2112,34.71686,0.8107611
-117.29961,34.705875,0.8035443
-117.309235,34.70468,0.7926205
-117.53245,34.676643,0.81434995
-117.541916,34.67544,0.82504016
-117.55134,34.674255,0.82857835
-117.56074,34.673065,0.842607
-117.57016,34.671864,0.8356173
-117.57961,34.67067,0.8035443
-117.202614,34.72522,0.8071592
-117.21239,34.72401,0.8071592
-117.310455,34.711792,0.7926205
-117.3201,34.710583,0.796275
-117.32969,34.70939,0.8071592
-117.543304,34.68247,0.8071592
-117.55272,34.68127,0.8035443
-117.56212,34.68008,0.81434995
-117.57152,34.678886,0.8107611
-117.580956,34.677685,0.796275
-117.16463,34.73723,0.796275
-117.174515,34.736,0.796275
-117.184296,34.734783,0.7926205
-117.203804,34.732357,0.82504016
-117.213615,34.73115,0.8035443
-117.32131,34.717705,0.8071592
-117.54467,34.689487,0.7999163
-117.57288,34.6859,0.796275
-117.58232,34.6847,0.7926205
-117.59174,34.6835,0.7926205
-117.61064,34.68109,0.7926205
-117.19527,34.74073,0.7926205
-117.20505,34.739517,0.7999163
-117.33216,34.7236,0.796275
-117.5837,34.691715,0.7999163
-117.59312,34.690517,0.796275
-117.621414,34.6869,0.7926205
-117.2553,34.74053,0.8071592
-117.26521,34.73928,0.796275
-117.58512,34.69872,0.7926205
-117.15068,34.77553,0.7999163
-117.16058,34.774296,0.8071592
-117.14837,34.773357,0.7999163
-117.15829,34.77216,0.8035443
-117.168205,34.770958,0.7999163
-117.149605,34.780514,0.7926205
-117.15951,34.779324,0.8035443
-116.48565,34.881447,0.796275
-116.518394,34.88516,0.7926205
-116.528885,34.883934,0.7926205
-116.539375,34.882713,0.7999163
-118.26258,34.668495,0.8179261
-116.51974,34.89253,0.8179261
-116.53032,34.891277,0.8071592
-116.54084,34.890045,0.8214895
-116.55122,34.888832,0.8071592
-118.61539,34.6354,0.9971887
-116.384895,34.92337,0.796275
-116.50123,34.90974,0.796275
-117.87083,34.74082,0.7926205
-118.59931,34.64454,1.3895048
-118.60799,34.64336,3.5128322
-118.616684,34.642185,3.4674497
-118.62555,34.640976,4.127749
-117.87214,34.747776,0.7926205
-118.60936,34.650146,0.8802012
-118.618256,34.64894,2.3152637
-118.62726,34.647717,4.1252685
-118.63638,34.64648,1.3834395
-116.48248,34.92701,0.7926205
-116.493004,34.925774,0.8071592
-116.50356,34.92452,0.796275
-118.61995,34.655666,0.91319287
-118.6289,34.65446,2.039262
-116.50472,34.931908,0.7926205
-116.51528,34.93065,0.8179261
-117.11209,34.85833,0.7926205
-118.63943,34.659985,2.6558044
-116.50593,34.939293,0.7926205
-116.51651,34.938034,0.8179261
-117.37064,34.833355,0.8071592
-117.50626,34.816193,0.7926205
-117.88522,34.767456,0.7926205
-118.62283,34.669205,2.0028217
-118.63175,34.667995,1.6380681
-116.48604,34.9492,0.8071592
-116.49655,34.947937,0.7926205
-118.624374,34.67596,1.5864547
-118.63303,34.67478,1.2765307
-115.91596,35.023586,0.7926205
-116.49771,34.955345,0.8214895
-116.508286,34.954075,0.7999163
-118.62596,34.68271,1.4928207
-115.917244,35.031197,0.796275
-116.49886,34.96274,0.796275
-116.50944,34.961468,0.8035443
-116.61492,34.948765,0.796275
-116.62543,34.947495,0.796275
-118.54747,34.700375,0.8460837
-118.62752,34.689453,0.9730281
